field,y.1,y.2,y.3,field.size,bqi,crop.hist,crop1,crop2,count1,count2,count3
1,1,1,1,14,1,crop,1,0,1,2,2
2,1,1,0,12.7,1,crop,1,0,2,2,0
3,0,0,0,15.7,0,grass,0,1,0,0,0
4,0,1,0,19.5,0,grass,0,1,0,2,0
5,1,0,1,13.5,0,crop,1,0,1,0,1
6,0,0,1,9.6,0,NA,0,1,0,0,2
7,0,0,1,44,1,crop,1,0,0,0,1
8,1,1,1,9.4,1,crop,1,0,1,3,1
9,1,1,0,19.6,0,NA,0,1,4,2,0
10,1,1,1,7,0,NA,0,1,4,3,4
11,1,1,0,20.9,1,crop,1,0,3,2,0
12,0,0,0,17.8,1,crop,1,0,0,0,0
13,0,0,0,14.4,1,crop,1,0,0,0,0
14,0,0,1,24.9,1,crop,1,0,0,0,1
15,1,1,1,6.4,1,crop,1,0,1,2,2
16,0,0,1,53.9,1,crop,1,0,1,0,2
17,0,0,1,10.3,0,crop,1,0,0,0,1
18,0,0,0,12,0,crop,1,0,0,0,0
19,0,1,1,6.8,0,NA,0,1,0,3,3
20,0,0,0,17.6,0,crop,1,0,0,0,0
21,1,0,0,18.8,0,crop,1,0,1,0,0
22,0,1,0,28,0,crop,1,0,0,3,0
23,1,0,0,7.9,0,crop,1,0,1,0,0
24,1,1,1,38.3,0,crop,1,0,3,1,1
25,1,1,1,15.9,0,crop,1,0,1,2,2
26,0,1,1,11.3,0,crop,1,0,0,1,1
27,0,0,1,10.5,0,crop,1,0,0,0,1
28,0,1,0,10.3,1,crop,1,0,0,1,0
29,1,1,0,18.2,0,grass,0,1,1,1,0
30,0,1,1,23,0,grass,0,1,0,2,2
31,0,0,0,30.2,0,crop,1,0,0,0,0
32,1,1,1,6.7,0,crop,1,0,2,1,2
33,1,0,0,10,0,crop,1,0,1,0,0
34,1,1,0,10,0,crop,1,0,4,1,0
35,0,0,0,18.1,1,crop,1,0,0,0,0
36,0,0,0,6.8,1,crop,1,0,0,0,0
37,0,1,0,9.2,0,mixed,0,0,0,1,0
38,0,1,1,10.7,0,mixed,0,0,0,1,1
39,1,1,1,9,0,mixed,0,0,1,1,4
40,1,0,1,9.1,0,mixed,0,0,2,0,2
41,0,1,0,10.4,1,NA,NA,NA,0,3,0